taskId,role,mockModel,mockPassed,liveModel,liveStatus,livePassed,liveFallbackCode,liveLatencyMs,citedFactCount,citationCount
upstage-smoke-admin-plan-001,ADMIN,upstage-mock-contract-v1,true,solar-pro3,LIVE,true,,1615,4,1
upstage-smoke-courier-source-002,COURIER,upstage-mock-contract-v1,true,solar-pro3,LIVE,true,,1749,4,1
upstage-smoke-courier-recipient-003,COURIER,upstage-mock-contract-v1,true,solar-pro3,LIVE,true,,1559,4,1
upstage-smoke-customer-eta-004,CUSTOMER,upstage-mock-contract-v1,true,solar-pro3,LIVE,true,,1225,2,0
upstage-smoke-report-summary-005,REPORT,upstage-mock-contract-v1,true,solar-pro3,LIVE,true,,1321,3,1
upstage-smoke-admin-blocked-006,ADMIN,upstage-mock-contract-v1,true,solar-pro3,FALLBACK,false,MALFORMED_RESPONSE,1452,3,1
upstage-smoke-courier-confidence-007,COURIER,upstage-mock-contract-v1,true,solar-pro3,LIVE,true,,1244,2,0
upstage-smoke-admin-applied-008,ADMIN,upstage-mock-contract-v1,true,solar-pro3,LIVE,true,,1680,3,1
upstage-smoke-injection-citation-009,ADMIN,upstage-mock-contract-v1,true,solar-pro3,LIVE,true,,1188,2,1
upstage-smoke-no-citation-010,CUSTOMER,upstage-mock-contract-v1,true,solar-pro3,LIVE,true,,1116,1,0
upstage-smoke-decimal-integrity-011,ADMIN,upstage-mock-contract-v1,true,solar-pro3,LIVE,true,,1577,2,1
upstage-smoke-fallback-boundary-012,REPORT,upstage-mock-contract-v1,true,solar-pro3,LIVE,true,,1500,2,1
